Song;Author_band;Songwriters;Duration;Album;Album_type;No_on_album;Release_date;Link;Lyrics
The New Song;Metallica;James Hetfield,Lars Ulrich,Kirk Hammett,Robert Trujillo;;;;;;https://www.metallica.com/songs/the-new-song.html;The man in black comes around,He blacks the light he blacks the sound,Just far enough he takes from here to rise above the myth of fear,Then lay your soul in life not found, ,Open up your gate,Spirit dilate,Watch the falling sand,Slipping through his hand, ,Open up your gate,Spirit dilate,Whisper to your friends,“Death is not the end”, ,Not the end,Not the end,It’s the beginning, ,Drop the hourglass of time,Spilling sand we will not find,Dearly beloved we gather today to say goodbye and find our way,Bid farewell with closing eyes, ,Open up your gate,Spirit dilate,Watch the falling sand,Slipping through his hand, ,Open up your gate,Spirit dilate,Whisper to your friends,“Death is not the end”, ,Not the end,Not the end,It’s the beginning, ,I’ve been a rambler the light changes me,I’ve been a gambler the light sets me free, ,Done the time in this hell,Accept the toll of the bell,The man in black has turned to light and shall return for you tonight,So say goodbye to your old self, ,Open up your gate,Spirit dilate,Watch the falling sand,Slipping through his hand, ,Open up your gate,Spirit dilate,Whisper to your friends,“Death is not the end”, ,Not the end,Not the end,It’s the beginning
No Leaf Clover;Metallica;James Hetfield,Lars Ulrich;5:43;S&M;Live;8;1999-11-23;https://www.metallica.com/songs/no-leaf-clover.html;And it feels right this time,On his crash course with the big time,Pay no mind to the distant thunder,New day fills his head with wonder boy, ,Says it feels right this time,Turned it ’round and found the right line,“Good day to be alive sir,Good day to be alive” he says, ,Then it comes to be that the soothing light at the end of your tunnel,Was just a freight train coming your way,Then it comes to be that the soothing light at the end of your tunnel,Was just a freight train coming your way, ,Don’t it feel right like this?,All the pieces fall to his wish,“Sucker for that quick reward boy,Sucker for that quick reward” they say, ,Then it comes to be that the soothing light at the end of your tunnel,Was just a freight train coming your way,Then it comes to be that the soothing light at the end of your tunnel,Was just a freight train coming your way,It’s coming your way, ,Then it comes to be that the soothing light at the end of your tunnel,Was just a freight train coming your way, ,Then it comes to be,Then it comes to be
No Remorse;Metallica;James Hetfield,Lars Ulrich;6:26;Kill 'Em All;Album;8;1983-07-25;https://www.metallica.com/songs/no-remorse.html;No mercy for what we’re doing,No thought to even what we’ve done,We don’t need to feel the sorrow,No remorse for the helpless one, ,War without end,No remorse no repent,We don’t care what it meant,Another day another death,Another sorrow another breath,No remorse no repent,We don’t care what it meant,Another day another death,Another sorrow another breath, ,Blood feeds the war machine,As it eats its way across the land,We don’t need to feel the sorrow,No remorse is the one command, ,War without end,No remorse no repent,We don’t care what it meant,Another day another death,Another sorrow another breath,No remorse no repent,We don’t care what it meant,Another day another death,Another sorrow another breath, ,Only the strong survive,No will to save the weaker race,We are ready to kill all comers,Like a loaded gun right at your face, ,War without end,No remorse no repent,We don’t care what it meant,Another day another death,Another sorrow another breath,No remorse no repent,We don’t care what it meant,Another day another death,Another sorrow another breath, ,Attack, ,Bullets are flying,People are dying,With madness surrounding,All hell’s breaking loose, ,Soldiers are hounding,Bodies are mounting,Cannons are shouting to take their abuse, ,With war machines going,Blood starts to flowing,No mercy given to anyone here, ,The furious fighting,Swords are like lightning,It all becomes frightening,You know death is near, ,No remorse
Nothing Else Matters;Metallica;James Hetfield,Lars Ulrich;6:28;Metallica;Album;8;1991-08-12;https://www.metallica.com/songs/nothing-else-matters.html;So close no matter how far,Couldn’t be much more from the heart,Forever trusting who we are,And nothing else matters, ,Never opened myself this way,Life is ours we live it our way,All these words I don’t just say,And nothing else matters, ,Trust I seek and I find in you,Every day for us something new,Open mind for a different view,And nothing else matters, ,Never cared for what they do,Never cared for what they know,But I know, ,So close no matter how far,Couldn’t be much more from the heart,Forever trusting who we are,And nothing else matters, ,Never cared for what they do,Never cared for what they know,But I know, ,Never opened myself this way,Life is ours we live it our way,All these words I don’t just say,And nothing else matters, ,Trust I seek and I find in you,Every day for us something new,Open mind for a different view,And nothing else matters, ,Never cared for what they say,Never cared for games they play,Never cared for what they do,Never cared for what they know,And I know, ,So close no matter how far,Couldn’t be much more from the heart,Forever trusting who we are,No nothing else matters
Now I Wanna Sniff Some Glue;The Ramones;Douglas Colvin;1:41;St. Anger (Single);Single;2;2003-06-23;https://www.metallica.com/songs/now-i-wanna-sniff-some-glue.html;Now I wanna sniff some glue,Now I wanna have somethin’ to do,All us kids wanna sniff some glue,All us kids want somethin’ to do, ,Now I wanna sniff some glue,Now I wanna have somethin’ to do,All us kids wanna sniff some glue,All us kids want somethin’ to do, ,Now I wanna sniff some glue,Now I wanna have somethin’ to do,All us kids wanna sniff some glue,All us kids want somethin’ to do, ,Now I wanna sniff some glue,Now I wanna have somethin’ to do,All us kids wanna sniff some glue,All us kids want somethin’ to do
Now That We’re Dead;Metallica;James Hetfield,Lars Ulrich;6:59;Hardwired... to Self-Destruct;Album;3;2016-11-18;https://www.metallica.com/songs/now-that-were-dead.html;When darkness falls,May it be,That we should see the light, ,When reaper calls,May it be,That we walk straight and right, ,When doubt returns,May it be,That faith shall permeate our scars, ,When we’re seduced,Then may it be,That we not deviate our cause, ,All sinners a future,All saints a past,Beginning the ending,Return to ash, ,Now that we’re dead my dear,We can be together,Now that we’re dead my dear,We can live forever, ,When all is pain,May it be,It’s all we’ve ever known, ,When flame consumes,May it be,It warms our dying bones, ,When loss has won,May it be,It’s you I’m madly fighting for, ,When Kingdom comes,May it be,We walk right through that open door, ,All sinners a future,All saints a past,Beginning the ending,Return to ash, ,Now that we’re dead my dear,We can be together,Now that we’re dead my dear,We can live forever, ,All sinners a future,All saints a past,Beginning the ending,Return to ash, ,Now that we’re dead my dear,We can be together,Now that we’re dead my dear,We can live we can live forever, ,Return to ashes shed this skin,Beyond the black we rise again,We shall live forever
Of Wolf and Man;Metallica;James Hetfield,Lars Ulrich,Kirk Hammett;4:16;Metallica;Album;9;1991-08-12;https://www.metallica.com/songs/of-wolf-and-man.html;Off through the new day’s mist I run,Out from the new day’s mist I have come, ,I hunt,Therefore I am,Harvest the land,Taking of the fallen lamb, ,Off through the new day’s mist I run,Out from the new day’s mist I have come, ,We shift,Pulsing with the earth,Company we keep,Roaming the land while you sleep, ,Shape shift,Nose to the wind,Shape shift,Feeling I’ve been,Move swift,All senses clean,Earth’s gift,Back to the meaning of life, ,Bright is the moon high in starlight,Chill in the air cold as steel tonight, ,We shift,Call of the wild,Fear in your eyes,It’s later than you realized, ,Shape shift,Nose to the wind,Shape shift,Feeling I’ve been,Move swift,All senses clean,Earth’s gift,Back to the meaning of life, ,I feel a change,Back to a better day,Hair stands on the back of my neck,In wildness is the preservation of the world,So seek the wolf in thyself, ,Shape shift,Nose to the wind,Shape shift,Feeling I’ve been,Move swift,All senses clean,Earth’s gift,Back to the meaning of life
One;Metallica;James Hetfield,Lars Ulrich;7:26;...And Justice for All;Album;4;1988-08-25;https://www.metallica.com/songs/one.html;I can’t remember anything,Can’t tell if this is true or dream,Deep down inside I feel to scream,This terrible silence stops me, ,Now that the war is through with me,I’m waking up I cannot see,That there’s not much left of me,Nothing is real but pain now, ,Hold my breath as I wish for death,Oh please God wake me, ,Back in the womb it’s much too real,In pumps life that I must feel,But can’t look forward to reveal,Look to the time when I’ll live, ,Fed through the tube that sticks in me,Just like a wartime novelty,Tied to machines that make me be,Cut this life off from me, ,Hold my breath as I wish for death,Oh please God wake me, ,Now the world is gone I’m just one,Oh God help me Hold my breath as I wish for death,Oh please God help me, ,Darkness,Imprisoning me,All that I see,Absolute horror,I cannot live,I cannot die,Trapped in myself,Body my holding cell, ,Landmine,Has taken my sight,Taken my speech,Taken my hearing,Taken my arms,Taken my legs,Taken my soul,Left me with life in hell
Only Happy When It Rains;Garbage;Butch Vig,Shirley Manson,Steve Marker,Duke Erikson;;;;;;https://www.metallica.com/songs/only-happy-when-it-rains.html;I’m only happy when it rains,Only happy when it’s complicated,And though you can’t appreciate it,Only happy when it rains, ,You know I love it when the news is bad,And why it feels so good to feel so sad,Only happy when it rains, ,Pour your misery down on me,Pour your misery down on me,Just pour your misery down on me,Pour that misery down on me, ,Only happy when it rains,Feeling good when things are going wrong,Only listen to the sad sad songs,Only happy when it rains, ,I only smile in the dark,Only comfort is the night gone black,Didn’t accidentally tell you that,Only happy when it rains, ,Get the message by the time I’m through,When I complain about me and you,Only happy when it rains, ,Pour that misery down on me,Pour your misery down on me,Pour that misery down on me,Pour your misery down on me, ,You can keep me company,As long as you don’t care, ,I’m only happy when it rains,You wanna hear about my new obsession?,Riding high upon a deep depression,Only happy when it rains, ,Only happy when it rains (Pour some misery down on me)
Orion;Metallica;James Hetfield,Lars Ulrich,Cliff Burton;8:28;Master of Puppets;Album;7;1986-03-03;https://www.metallica.com/songs/orion.html;Instrumental
The Other New Song;Metallica;James Hetfield,Lars Ulrich,Kirk Hammett,Robert Trujillo;;;;;;https://www.metallica.com/songs/the-other-new-song.html;See the vultures come,See the vultures come for me, ,Falling from the sun,Falling down to wait for me, ,Just sit and stare,Waiting till I hit the ground, ,Feel the vultures tear,Feel the vultures tear at flesh, ,Vulture it’s time to say,Pick the bone until you’re prey,Fall below and in between,Pick the bone until you’re prey, ,Rat without soul,Rat rummage high and low, ,Search for my soul,Search though I’m high above, ,Wings beat behind,Too late too late again, ,They desperately search for soul,But must settle for flesh and bone again, ,Vulture it’s time to say,Pick the bone until you’re prey,Fall below and in between,Pick the bone until you’re prey, ,Vultures,Search on,Vultures,Vultures
